iteration,model,treatment_balanced_mean_rmse,resampled_blank_ids
236,persistence,18.474324713038236,K1;K2;K3
236,recent_rate,15.38108999109957,K1;K2;K3
236,zero_anchored_gompertz,15.113501959996395,K1;K2;K3
237,modified_gompertz,16.839277654807887,K3;K3;K3
237,persistence,21.2445741308061,K3;K3;K3
237,recent_rate,14.623122649335889,K3;K3;K3
237,zero_anchored_gompertz,16.94185934309568,K3;K3;K3
243,modified_gompertz,15.434085330862242,K1;K3;K3
243,persistence,19.12038453051913,K1;K3;K3
243,recent_rate,17.05077325057599,K1;K3;K3
243,zero_anchored_gompertz,16.195848200598398,K1;K3;K3
249,modified_gompertz,17.021015048090653,K3;K1;K1
249,persistence,21.339058987454276,K3;K1;K1
249,recent_rate,15.662072302613982,K3;K1;K1
249,zero_anchored_gompertz,17.794945657274432,K3;K1;K1
252,modified_gompertz,14.946341904853279,K3;K2;K1
252,persistence,19.418195403886152,K3;K2;K1
252,recent_rate,12.963071380926213,K3;K2;K1
252,zero_anchored_gompertz,15.49684061194432,K3;K2;K1
254,modified_gompertz,14.70530683255587,K3;K2;K3
254,persistence,18.69629115650781,K3;K2;K3
254,recent_rate,14.277860557757975,K3;K2;K3
254,zero_anchored_gompertz,14.794889939849522,K3;K2;K3
260,modified_gompertz,15.106590243088833,K1;K3;K1
260,persistence,19.525485522119368,K1;K3;K1
260,recent_rate,13.324762306985756,K1;K3;K1
260,zero_anchored_gompertz,15.978020838879594,K1;K3;K1
264,modified_gompertz,14.785154174011778,K1;K2;K1
264,persistence,18.59223874078482,K1;K2;K1
264,recent_rate,15.49495088742316,K1;K2;K1
264,zero_anchored_gompertz,15.460147788917608,K1;K2;K1
269,modified_gompertz,17.228551847069866,K2;K2;K2
269,persistence,21.622434118927945,K2;K2;K2
269,recent_rate,13.733744241035126,K2;K2;K2
269,zero_anchored_gompertz,17.256375280301246,K2;K2;K2
274,modified_gompertz,12.991512287254793,K3;K2;K2
274,persistence,18.40597392864975,K3;K2;K2
274,recent_rate,10.907536094798633,K3;K2;K2
274,zero_anchored_gompertz,13.13406709296761,K3;K2;K2
275,modified_gompertz,14.330695450243237,K3;K3;K3
275,persistence,18.2403375432688,K3;K3;K3
275,recent_rate,15.15452798726733,K3;K3;K3
275,zero_anchored_gompertz,14.448857530440126,K3;K3;K3
276,modified_gompertz,15.537214358894172,K1;K3;K3
